1939.583333000	-0.29	0.17
1939.666667000	-0.17	0.19
1939.750000000	-0.01	-0.09
1939.833333000	0.02	-0.04
1939.916667000	-0.02	0.34
1940.000000000	-0.02	0.59
1940.083333000	-0.03	0.71
1940.166667000	-0.06	0.67
1940.250000000	-0.02	0.50
1940.333333000	0.06	0.44
1940.416667000	0.14	0.50
1940.500000000	0.19	0.48
1940.583333000	0.11	0.35
1940.666667000	-0.11	0.30
1940.750000000	-0.34	0.45
1940.833333000	-0.44	0.68
1940.916667000	-0.37	0.82
1941.000000000	-0.30	0.79
1941.083333000	-0.33	0.79
1941.166667000	-0.36	0.94
1941.250000000	-0.36	1.06
1941.333333000	-0.37	0.98
1941.416667000	-0.34	0.78
1941.500000000	-0.28	0.71
1941.583333000	-0.21	0.67
1941.666667000	-0.10	0.64
1941.750000000	0.03	0.74
1941.833333000	0.13	0.88
1941.916667000	0.23	0.85
1942.000000000	0.33	0.66
1942.083333000	0.33	0.43
1942.166667000	0.28	0.33
1942.250000000	0.28	0.31
1942.333333000	0.25	0.08
1942.416667000	0.11	-0.13
1942.500000000	0.03	-0.20
1942.583333000	0.04	-0.33
1942.666667000	0.06	-0.49
1942.750000000	0.09	-0.60
1942.833333000	0.12	-0.67
1942.916667000	0.09	-0.83
1943.000000000	0.02	-0.96
1943.083333000	-0.08	-0.84
1943.166667000	-0.17	-0.59
1943.250000000	-0.19	-0.35
1943.333333000	-0.19	-0.15
1943.416667000	-0.23	-0.04
1943.500000000	-0.25	0.07
1943.583333000	-0.27	0.12
1943.666667000	-0.32	-0.04
1943.750000000	-0.38	-0.27
1943.833333000	-0.46	-0.34
1943.916667000	-0.51	-0.25
1944.000000000	-0.45	-0.16
1944.083333000	-0.29	-0.11
1944.166667000	-0.18	-0.02
1944.250000000	-0.16	0.08
1944.333333000	-0.16	0.13
1944.416667000	-0.18	0.13
1944.500000000	-0.22	0.18
1944.583333000	-0.25	0.20
1944.666667000	-0.22	0.13
1944.750000000	-0.12	0.10
1944.833333000	0.00	0.11
1944.916667000	0.02	0.04
1945.000000000	-0.02	-0.15
1945.083333000	-0.04	-0.38
1945.166667000	-0.07	-0.60
1945.250000000	-0.08	-0.68
1945.333333000	-0.11	-0.65
1945.416667000	-0.25	-0.58
1945.500000000	-0.42	-0.46
1945.583333000	-0.47	-0.37
1945.666667000	-0.34	-0.32
1945.750000000	-0.11	-0.24
1945.833333000	0.03	-0.18
1945.916667000	0.04	-0.20
1946.000000000	0.00	-0.19
1946.083333000	-0.01	-0.14
1946.166667000	0.00	-0.13
1946.250000000	0.02	-0.06
1946.333333000	0.06	0.13
1946.416667000	0.12	0.32
1946.500000000	0.11	0.28
1946.583333000	0.09	0.22
1946.666667000	0.04	0.28
1946.750000000	-0.07	0.26
1946.833333000	-0.13	0.29
1946.916667000	-0.11	0.42
1947.000000000	-0.08	0.30
1947.083333000	-0.11	0.12
1947.166667000	-0.20	0.14
1947.250000000	-0.25	0.08
1947.333333000	-0.19	0.11
1947.416667000	-0.15	0.20
1947.500000000	-0.19	0.03
1947.583333000	-0.23	-0.18
1947.666667000	-0.25	-0.41
1947.750000000	-0.29	-0.62
1947.833333000	-0.34	-0.49
1947.916667000	-0.35	-0.10
1948.000000000	-0.33	0.05
1948.083333000	-0.34	0.05
1948.166667000	-0.36	0.20
1948.250000000	-0.35	0.33
1948.333333000	-0.36	0.46
1948.416667000	-0.34	0.40
1948.500000000	-0.31	0.11
1948.583333000	-0.31	-0.04
1948.666667000	-0.33	-0.06
1948.750000000	-0.33	-0.11
1948.833333000	-0.30	-0.11
1948.916667000	-0.26	-0.07
1949.000000000	-0.20	0.08
1949.083333000	-0.14	0.14
1949.166667000	-0.10	-0.02
1949.250000000	-0.08	-0.07
1949.333333000	-0.10	-0.14
1949.416667000	-0.25	-0.28
1949.500000000	-0.40	-0.21
1949.583333000	-0.45	-0.23
1949.666667000	-0.40	-0.48
1949.750000000	-0.33	-0.73
1949.833333000	-0.28	-0.89
1949.916667000	-0.22	-0.80
1950.000000000	-0.10	-0.73
1950.083333000	-0.03	-0.88
1950.166667000	-0.09	-0.85
1950.250000000	-0.19	-0.72
1950.333333000	-0.32	-0.64
1950.416667000	-0.38	-0.62
1950.500000000	-0.32	-0.73
1950.583333000	-0.26	-0.79
1950.666667000	-0.23	-0.80
1950.750000000	-0.17	-0.95
1950.833333000	-0.11	-1.02
1950.916667000	-0.12	-0.93
1951.000000000	-0.19	-0.96
1951.083333000	-0.24	-0.91
1951.166667000	-0.28	-0.68
1951.250000000	-0.25	-0.42
1951.333333000	-0.18	-0.23
1951.416667000	-0.21	-0.12
1951.500000000	-0.23	0.09
1951.583333000	-0.21	0.27
1951.666667000	-0.26	0.31
1951.750000000	-0.33	0.33
1951.833333000	-0.35	0.40
1951.916667000	-0.34	0.43
