ForcingN	ModelN		ForcingT	ModelT
0.06178470	-0.14920186		0.058357502	-0.104451901
0.06162188	-0.12070540		0.058138906	-0.003578087
0.06152169	-0.03982182		0.057966812	0.090354121
0.06147710	0.08445577		0.057853341	0.197553646
0.06146870	0.15445118		0.05779766	0.271236233
0.06149127	0.12714682		0.058194673	0.258787884
0.06146621	0.04948228		0.058196781	0.188204671
0.06139255	0.00748590		0.058179546	0.122659147
0.06125881	0.04230146		0.058118578	0.094438181
0.06106950	0.12258820		0.057999001	0.112179677
0.06084399	0.02964866		0.057821634	0.03194125
0.09319711	-0.26881192		0.086266878	-0.288243909
0.09316642	-0.45735949		0.086189644	-0.622015006
0.09300714	-0.48762019		0.085974688	-0.744402947
0.09290698	-0.43782591		0.085802614	-0.733732079
0.09286239	-0.32746813		0.085689143	-0.681233668
0.09285399	-0.26013498		0.085633462	-0.628033733
0.09283755	-0.28980325		0.085360468	-0.619573011
0.09281229	-0.38021047		0.085358937	-0.661716671
0.09273862	-0.45347940		0.085341682	-0.722849577
0.09260488	-0.47134152		0.085280714	-0.766766369
0.09241557	-0.46037254		0.085161137	-0.782380093
0.09219006	-0.34778884		0.08498377	-0.772078284
0.09850605	-0.18667280		0.101625601	-0.739975153
0.09833311	-0.19027733		0.101484257	-0.705490346
0.09817305	-0.22977910		0.101268953	-0.664711017
0.09807289	-0.14800689		0.101096877	-0.588351335
0.09802830	-0.02508971		0.100983406	-0.482800303
0.09801989	0.04554121		0.100927725	-0.406409436
0.09803871	0.01908281		0.101267358	-0.412633434
0.09801364	-0.05959787		0.101269154	-0.47873039
0.09793998	-0.10487464		0.101251918	-0.544297032
0.09780624	-0.07500157		0.101190949	-0.575204775
0.09761692	0.01136347		0.101071373	-0.554502411
0.09739141	0.20437818		0.100894006	-0.560158527
0.02831831	0.40921872		0.029949461	-0.69848268
0.02773348	0.41655474		0.029332397	-0.865757931
0.02757118	0.37087070		0.029114509	-0.916896218
0.02747100	0.44187802		0.028942419	-0.872462549
0.02742641	0.56019172		0.028828947	-0.79082055
0.02741800	0.63044891		0.028773267	-0.70701236
0.02739220	0.60548665		0.028354552	-0.656632761
0.02736688	0.52659650		0.028352229	-0.66506471
0.02729322	0.47566320		0.028334971	-0.712376272
0.02715948	0.49031328		0.028274002	-0.744021886
0.02697016	0.50304008		0.028154426	-0.734497642
0.02674466	0.39852662		0.027977059	-0.569370564
0.13651752	0.23694594		0.14158865	-0.177707267
0.13690980	0.14899343		0.141973991	0.159819202
0.13675284	0.12704013		0.141761548	0.257813368
0.13665269	0.18096174		0.141589487	0.285050701
0.13660810	0.29412552		0.141476016	0.349127706
0.13659970	0.36326539		0.141420335	0.412875934
0.13659713	0.33593571		0.141371909	0.432264961
0.13657194	0.24786997		0.141371597	0.396895154
0.13649828	0.17803821		0.14135435	0.337082294
0.13636454	0.16439832		0.141293381	0.292022939
0.13617522	0.14569024		0.141173804	0.279377289
0.13594971	-0.02408232		0.140996437	0.160560441
-0.01521369	-0.27462820		-0.015997714	-0.197837241
-0.01583211	-0.39175563		-0.016618686	-0.55493913
-0.01567638	-0.39738270		-0.016407523	-0.671814132
-0.01557624	-0.33379293		-0.016235469	-0.636021971
-0.01553165	-0.21685087		-0.016121998	-0.560109182
-0.01552325	-0.14698398		-0.016066317	-0.488827477
-0.01551131	-0.17297888		-0.015880835	-0.461780408
-0.01548607	-0.25476486		-0.015879779	-0.490070149
-0.01541241	-0.30953291		-0.015862527	-0.545321456
-0.01527867	-0.29571225		-0.015801559	-0.583130824
-0.01508935	-0.24551901		-0.015681982	-0.593139584
-0.01486384	-0.20311094		-0.015504615	-0.472152744
0.04148820	-0.20856564		0.039596267	-0.133692831
0.04158862	-0.27804825		0.039663811	0.172428316
0.04143006	-0.32403871		0.039449642	0.264941462
0.04132990	-0.26630659		0.039277572	0.296191459
0.04128531	-0.15244504		0.039164101	0.363128172
0.04127691	-0.08355226		0.03910842	0.426034313
0.04126293	-0.11024021		0.038876953	0.442780851
0.04123768	-0.19392059		0.038875648	0.406083388
0.04116401	-0.25403366		0.038858395	0.347001142
0.04103028	-0.25090316		0.038797426	0.304289646
0.04084096	-0.21140681		0.038677849	0.299024658
0.04061545	-0.19429745		0.038500482	0.208445954
-0.01331522	-0.24536391		-0.014844938	-0.095132528
-0.01340242	-0.32979296		-0.014902947	-0.397086226
-0.01324379	-0.35005696		-0.014688726	-0.475599325
-0.01314362	-0.26937260		-0.014516656	-0.411166151
-0.01309903	-0.14728638		-0.014403185	-0.313511991
-0.01309063	-0.07594345		-0.014347504	-0.224862728
-0.01307833	-0.09994199		-0.014145304	-0.180735936
-0.01305308	-0.17608830		-0.014144158	-0.19701213
-0.01297942	-0.21861063		-0.014126906	-0.246837768
-0.01284568	-0.18464070		-0.014065937	-0.278288491
-0.01265636	-0.11950089		-0.01394636	-0.275858404
-0.01243086	-0.03606896		-0.013768993	-0.1385242
0.09649378	0.01853685		0.094748134	0.212266922
0.09688144	-0.03538101		0.095105806	0.522852554
0.09672445	-0.06967818		0.094893212	0.616911755
0.09662430	0.01232203		0.09472115	0.650330592
0.09657970	0.13396480		0.094607679	0.719032531
0.09657130	0.20548630		0.094551999	0.78212416
0.09654515	0.18211452		0.094136378	0.79735892
0.09651983	0.10633950		0.094134072	0.758997194
0.09644616	0.06295441		0.094116814	0.699193955
0.09631243	0.09282495		0.094055845	0.655841661
0.09612311	0.15000934		0.093936268	0.64821481
0.09589760	-0.10089518		0.093758901	0.545249356
0.08748989	-0.60446706		0.088606435	0.207762959
0.08723650	-0.78056565		0.088346716	-0.152793586
0.08707601	-0.69384153		0.088130769	-0.309984295
0.08697584	-0.58778382		0.087958689	-0.32855513
0.08693125	-0.45425767		0.087845218	-0.297221606
0.08692285	-0.38661535		0.087789537	-0.228658082
0.08696646	-0.41936671		0.088513844	-0.145381793
0.08694152	-0.48902411		0.08851773	-0.114738203
0.08686786	-0.50532965		0.088500505	-0.156660616
0.08673412	-0.42801321		0.088439536	-0.212093751
0.08654481	-0.30724269		0.08831996	-0.258402984
0.08631930	-0.16392606		0.088142593	-0.215763468
-0.01114772	-0.07642078		-0.010400525	-0.002665529
